ticker,event_date,box_high,box_low,box_days,box_range_pct,volume_confirmed,regime_at_event,breakout_magnitude_pct,liquidity_level_at_event,is_etf,event_seq_for_ticker,is_limit_up_day
2603,2026-05-25,202.64512634277344,182.70521545410156,49,10.35,False,📈 大盤穩健多頭趨勢,-2.06,🟢 流動性正常,,5,False
1515,2025-02-14,30.621004104614258,27.41757583618164,51,11.04,False,🔄 大盤低波盤整區,0.92,🔴 極低流動性,,1,False
1515,2025-07-23,29.16061782836914,25.8820743560791,31,11.91,False,📈 大盤穩健多頭趨勢,2.63,🔴 極低流動性,,2,False
1515,2025-08-29,30.5125789642334,27.588050842285156,23,10.07,False,📈 大盤穩健多頭趨勢,0.64,🔴 極低流動性,,3,False
1515,2026-06-04,23.688678741455078,21.202831268310547,41,11.07,False,📈 大盤穩健多頭趨勢,4.12,🟡 流動性偏低,,4,True
1101,2024-12-04,31.42612648010254,29.101709365844727,60,7.68,True,🔄 大盤低波盤整區,0.0,🟢 流動性正常,,1,False
1101,2025-02-21,31.519105911254883,28.12545394897461,60,11.38,False,🔄 大盤低波盤整區,0.88,🟢 流動性正常,,2,False
1101,2025-05-19,28.5903377532959,26.498363494873047,20,7.59,False,🔄 大盤低波盤整區,-3.09,🟢 流動性正常,,3,False
1101,2025-12-29,22.18659019470215,19.721412658691406,35,11.76,False,📈 大盤穩健多頭趨勢,1.53,🟢 流動性正常,,4,False
1101,2026-03-03,25.61850357055664,22.863304138183594,20,11.37,False,📈 大盤穩健多頭趨勢,-2.26,🟢 流動性正常,,5,False
1101,2026-04-16,24.31340980529785,21.799894332885742,20,10.9,True,📈 大盤穩健多頭趨勢,-0.6,🟢 流動性正常,,6,False
1101,2026-05-08,24.55509376525879,21.799894332885742,35,11.89,False,📈 大盤穩健多頭趨勢,-1.57,🟢 流動性正常,,7,False
0050,2025-01-06,47.7835807800293,44.06361770629883,60,8.1,False,🔄 大盤低波盤整區,1.53,🟢 流動性正常,,1,False
0050,2025-05-22,42.21514892578125,37.94497299194336,20,10.65,False,🔄 大盤低波盤整區,4.67,🟢 流動性正常,,2,False
0050,2025-06-10,44.67263412475586,40.3294563293457,21,10.22,False,🔄 大盤低波盤整區,2.75,🟢 流動性正常,,3,False
0050,2025-09-09,52.28928756713867,46.891666412353516,45,10.88,False,📈 大盤穩健多頭趨勢,1.03,🟢 流動性正常,,4,False
0050,2025-10-27,60.4732780456543,53.85748291015625,20,11.57,False,📈 大盤穩健多頭趨勢,3.4,🟢 流動性正常,,5,False
0050,2025-12-29,63.46263885498047,56.65081787109375,51,11.34,False,📈 大盤穩健多頭趨勢,0.77,🟢 流動性正常,,6,False
0050,2026-02-09,71.81300354003906,63.85468673706055,20,11.73,False,📈 大盤穩健多頭趨勢,2.35,🟢 流動性正常,,7,False
0050,2026-02-23,73.75120544433594,65.618896484375,20,11.67,False,📈 大盤穩健多頭趨勢,4.31,🟢 流動性正常,,8,False
0050,2026-04-14,80.65917205810547,73.15483856201172,27,9.76,False,⚠️ 大盤高波動震盪區,2.4,🟢 流動性正常,,9,False
0050,2026-06-05,97.10906982421875,89.40594482421875,20,8.26,False,📈 大盤穩健多頭趨勢,6.6,🟢 流動性正常,,10,False
0050,2026-07-02,106.9491958618164,95.270263671875,20,11.55,False,📈 大盤穩健多頭趨勢,1.12,🟢 流動性正常,,11,False
006208,2025-01-06,109.6590805053711,101.23101806640625,60,7.99,False,🔄 大盤低波盤整區,1.28,🟢 流動性正常,,1,False
006208,2025-02-03,112.25375366210938,102.76083374023438,60,8.83,False,⚠️ 大盤高波動震盪區,-4.31,🟢 流動性正常,,2,False
006208,2025-05-22,96.8277587890625,87.0025863647461,20,10.69,False,🔄 大盤低波盤整區,4.26,🟢 流動性正常,,3,False
006208,2025-06-09,102.09632873535156,92.55593872070312,20,9.8,False,🔄 大盤低波盤整區,0.51,🟢 流動性正常,,4,False
006208,2025-09-09,119.62519073486328,107.17504119873047,45,10.98,False,📈 大盤穩健多頭趨勢,0.72,🟢 流動性正常,,5,False
006208,2025-10-27,137.91123962402344,123.02391815185547,20,11.41,False,📈 大盤穩健多頭趨勢,3.68,🟢 流動性正常,,6,False
006208,2025-11-13,144.51719665527344,129.05543518066406,20,11.3,False,📈 大盤穩健多頭趨勢,-2.58,🟢 流動性正常,,7,False
006208,2025-12-29,145.3309783935547,129.05543518066406,51,11.86,False,📈 大盤穩健多頭趨勢,0.68,🟢 流動性正常,,8,False
006208,2026-02-09,164.07748413085938,146.27706909179688,20,11.47,False,📈 大盤穩健多頭趨勢,2.36,🟢 流動性正常,,9,False
006208,2026-02-23,168.39271545410156,150.00387573242188,20,11.55,False,📈 大盤穩健多頭趨勢,4.28,🟢 流動性正常,,10,False
006208,2026-04-14,184.37875366210938,167.1667938232422,27,9.79,False,⚠️ 大盤高波動震盪區,2.15,🟢 流動性正常,,11,False
006208,2026-06-05,222.431396484375,204.9252166748047,20,8.19,False,📈 大盤穩健多頭趨勢,6.28,🟢 流動性正常,,12,False
006208,2026-06-12,236.60305786132812,209.9760284423828,20,11.92,False,📈 大盤穩健多頭趨勢,-2.13,🟢 流動性正常,,13,False
006208,2026-07-02,244.00762939453125,217.2825164794922,20,11.59,False,📈 大盤穩健多頭趨勢,1.41,🟢 流動性正常,,14,False
